Gene Symbol,Del_diff,Diploid_diff,Gain_diff
C7orf23,0.44,-54.76,54.31
C7orf25,0.94,-56.31,55.39
C7orf26,-0.48,-56.05,56.52
C7orf29,0.74,-49.16,48.41
C7orf30,0.74,-56.51,55.78
C7orf31,0.38,-57.06,56.68
C7orf33,0.72,-49.16,48.45
C7orf34,0.19,-48.1,47.91
C7orf41,0.42,-57.62,57.19
C7orf42,-0.32,-57.77,58.08
C7orf43,0.44,-50.5,50.05
C7orf44,0.77,-55.97,55.22
C7orf45,-0.09,-47.87,47.96
C7orf46,0.55,-56.69,56.14
C7orf49,0.08,-48.5,48.41
C7orf50,-1.53,-56.08,57.61
C7orf53,0.47,-48.64,48.17
C7orf55,0.08,-47.4,47.32
C7orf57,1.28,-56.39,55.11
C7orf58,-0.12,-47.64,47.75
C7orf59,0.44,-50.5,50.05
C7orf60,0.47,-48.47,48.0
C7orf61,0.61,-50.31,49.68
C7orf62,0.25,-54.37,54.12
C7orf63,0.25,-54.55,54.29
C7orf65,1.28,-56.56,55.28
C7orf66,0.64,-49.01,48.38
C7orf69,1.28,-56.22,54.94
C7orf70,-0.48,-56.44,56.93
C7orf71,0.22,-57.25,57.02
C7orf72,0.2,-55.66,55.46
C7orf73,0.08,-47.96,47.88
CACNA2D1,0.41,-55.42,54.99
CADPS2,-0.12,-47.82,47.93
CALCR,0.25,-52.21,51.97
CALD1,0.08,-48.5,48.41
CALN1,0.02,-57.89,57.86
CALU,-0.09,-48.26,48.35
CAMK2B,0.94,-55.63,54.7
CAPZA2,0.13,-48.27,48.15
CARD11,-2.22,-55.63,57.85
CASD1,0.08,-52.37,52.29
CASP2,0.19,-47.93,47.74
CAV1,0.47,-48.47,48.0
CAV2,0.47,-48.13,47.66
CBLL1,0.64,-48.61,47.98
CBX3,0.39,-57.25,56.85
CCDC126,0.55,-56.69,56.14
CCDC129,0.42,-57.42,56.99
CCDC132,0.25,-52.56,52.31
CCDC136,-0.09,-48.43,48.52
CCDC146,-0.15,-56.72,56.86
CCDC71L,0.61,-48.99,48.37
CCL24,-0.32,-57.46,57.76
CCL26,-0.32,-57.29,57.59
CCM2,1.11,-55.8,54.7
CCT6A,0.22,-57.8,57.57
CCT6P1,-0.32,-57.6,57.91
CCT6P3,-0.15,-58.11,58.25
CCZ1,-0.68,-56.22,56.9
CCZ1B,-0.68,-56.22,56.9
CD36,0.24,-56.15,55.9
CDC14C,0.94,-55.7,54.76
CDCA7L,0.55,-56.89,56.34
CDHR3,0.61,-48.81,48.19
CDK13,0.77,-56.0,55.24
CDK14,0.25,-54.52,54.27
CDK5,0.57,-49.36,48.79
CDK6,0.08,-53.07,53.0
CEP41,-0.09,-47.67,47.76
CFTR,-0.09,-47.91,48.01
CHCHD2,0.22,-58.01,57.79
CHCHD3,-0.09,-48.48,48.57
CHN2,0.39,-57.08,56.68
CHPF2,0.77,-49.19,48.43
CHRM2,0.25,-47.96,47.71
CHST12,-1.85,-55.98,57.84
CLCN1,0.19,-47.93,47.74
CLDN12,0.25,-54.91,54.66
CLDN15,0.44,-50.31,49.87
CLDN3,-0.34,-57.35,57.7
CLDN4,-0.34,-57.35,57.7
CLEC2L,0.08,-47.57,47.49
CLEC5A,0.22,-48.48,48.25
CLIP2,-0.34,-57.69,58.04
CLK2P,0.55,-56.34,55.81
CNOT4,0.08,-48.3,48.22
CNPY1,0.86,-48.82,47.95
CNPY4,0.44,-50.5,50.05
CNTNAP2,0.52,-49.59,49.05
COBL,0.38,-56.56,56.2
COG5,0.61,-48.79,48.18
COL1A2,0.25,-52.37,52.12
COL28A1,-0.48,-56.05,56.53
COPG2,-0.09,-47.5,47.6
COPS6,0.44,-50.5,50.05
COX19,-1.53,-56.08,57.61
CPA1,-0.09,-47.67,47.76
CPA2,-0.09,-47.67,47.76
CPA4,-0.09,-47.67,47.76
CPA5,-0.09,-47.67,47.76
CPSF4,0.44,-50.5,50.06
CPVL,0.57,-57.08,56.51
CRCP,-0.32,-57.77,58.08
CREB3L2,0.08,-47.96,47.88
CREB5,0.57,-57.25,56.68
CRHR2,0.22,-57.59,57.37
CROT,0.44,-54.76,54.31
CRYGN,0.77,-49.36,48.59
CTAGE15P,0.39,-48.33,47.94
CTAGE4,0.39,-48.87,48.47
CTAGE6P,0.39,-48.33,47.94
CTTNBP2,-0.09,-47.54,47.63
CUL1,0.55,-48.79,48.25
CUX1,0.44,-49.06,48.62
CYCS,0.38,-56.89,56.51
CYP2W1,-1.53,-56.08,57.61
CYP3A4,0.44,-50.33,49.89
CYP3A43,0.44,-50.5,50.06
CYP3A5,0.44,-50.33,49.89
CYP3A7,0.44,-50.33,49.89
CYP3A7-CYP3AP1,0.44,-50.33,49.89
CYP51A1,0.44,-53.69,53.25
CYTH3,-0.48,-56.44,56.93
DAGLB,-0.48,-56.25,56.73
DBF4,0.44,-54.56,54.12
DBNL,0.94,-55.8,54.87
DDC,0.38,-56.37,55.99
DDX56,0.94,-55.63,54.7
DENND2A,0.42,-48.1,47.68
DFNA5,0.38,-56.71,56.34
DGKB,0.32,-55.29,54.97
DGKI,0.42,-48.3,47.88
DKFZP586I1420,0.22,-57.42,57.19
DKFZp434L192,0.22,-56.86,56.64
DLD,0.64,-49.01,48.38
DLX5,0.25,-51.29,51.04
DLX6,0.25,-51.29,51.04
DLX6-AS1,0.25,-51.29,51.04
DMTF1,0.44,-54.76,54.31
DNAH11,0.55,-56.89,56.34
DNAJB6,0.81,-49.88,49.06
DNAJB9,0.64,-49.01,48.37
DNAJC2,0.44,-49.23,48.79
DNAJC30,-0.34,-57.35,57.7
DOCK4,0.64,-48.64,48.0
DPP6,1.06,-49.65,48.6
DPY19L1,0.59,-57.06,56.47
DPY19L1P1,0.42,-57.4,56.98
DPY19L2P1,0.59,-57.23,56.64
DPY19L2P2,0.44,-49.4,48.96
DPY19L2P3,0.22,-56.9,56.68
DPY19L2P4,0.25,-54.37,54.12
DTX2,-0.15,-56.72,56.86
DTX2P1-UPK3BP1-PMS2P11,-0.15,-56.72,56.86
DUS4L,0.64,-48.81,48.18
DYNC1I1,0.05,-51.82,51.78
EEPD1,0.59,-57.23,56.64
EFCAB10,0.44,-48.64,48.2
EGFR,0.25,-63.22,62.97
EIF2AK1,-0.48,-56.61,57.1
EIF3B,-1.85,-55.98,57.84
EIF3IP1,0.64,-48.64,48.0
EIF4H,-0.34,-57.52,57.87
ELFN1,-1.7,-56.1,57.8
ELMO1,0.77,-57.23,56.46
ELN,-0.34,-57.35,57.7
EMID2,0.44,-49.97,49.52
EN2,0.86,-48.82,47.95
EPDR1,0.77,-56.89,56.12
EPHA1,0.39,-48.13,47.73
EPHB4,0.44,-50.11,49.67
EPHB6,0.19,-48.28,48.08
EPO,0.44,-49.92,49.48
ERV3-1,-0.15,-58.5,58.65
ESYT2,0.44,-49.72,49.26
ETV1,0.13,-56.27,56.14
EVX1,0.39,-57.42,57.02
EXOC4,-0.26,-48.68,48.93
EZH2,0.57,-48.62,48.06
FABP5P3,0.91,-49.71,48.79
FAM115A,0.39,-48.33,47.94
FAM115C,0.39,-48.33,47.94
FAM126A,0.91,-57.06,56.13
FAM131B,0.19,-47.93,47.74
FAM133B,0.08,-52.9,52.83
FAM180A,0.08,-47.96,47.88
FAM183B,0.77,-56.22,55.46
FAM185A,0.44,-49.2,48.77
FAM188B,0.22,-57.59,57.37
FAM200A,0.44,-50.33,49.89
FAM20C,-1.71,-55.88,57.59
FAM3C,-0.29,-47.66,47.96
FAM40B,-0.09,-48.43,48.52
FAM71F1,-0.09,-48.26,48.35
FAM71F2,-0.09,-48.26,48.35
FASTK,0.77,-49.55,48.79
FBXL13,0.44,-49.4,48.96
FBXL18,-0.88,-56.39,57.26
FBXO24,0.61,-49.94,49.32
FDPSL2A,-0.15,-56.72,56.86
FERD3L,0.35,-56.69,56.34
FEZF1,0.08,-47.66,47.59
FGL2,-0.15,-56.72,56.86
FIGNL1,0.57,-56.39,55.82
FIS1,0.44,-50.31,49.87
FKBP14,0.42,-57.45,57.02
FKBP6,-0.15,-57.55,57.7
FKBP9,0.42,-58.28,57.87
FKBP9L,0.22,-59.12,58.89
FLJ35390,0.94,-55.46,54.53
FLJ40288,-0.09,-48.28,48.38
FLJ40852,0.22,-48.28,48.05
FLJ42280,0.25,-51.46,51.21
FLJ43663,-0.09,-47.5,47.59
FLJ44511,-1.71,-55.88,57.59
FLJ45340,-0.09,-48.26,48.35
FLJ45974,0.94,-56.89,55.94
FLNC,-0.09,-48.43,48.52
FOXK1,-1.24,-56.22,57.46
FOXP2,0.47,-48.3,47.83
FSCN1,-0.68,-56.39,57.07
FSCN3,-0.09,-47.91,48.0
FTSJ2,-1.85,-55.98,57.84
FZD1,0.25,-54.72,54.47
FZD9,-0.15,-57.55,57.7
GAL3ST4,0.44,-50.5,50.05
GALNT11,0.74,-49.71,48.96
GALNTL5,0.74,-49.71,48.96
GARS,0.22,-57.59,57.37
GATAD1,0.27,-53.13,52.86
GATS,0.44,-50.5,50.05
GATSL1,-0.12,-56.96,57.08
GATSL2,0.05,-57.13,57.08
GBAS,0.22,-58.27,58.03
GBX1,0.77,-49.19,48.43
GCC1,-0.09,-47.91,48.0
GCK,0.94,-55.8,54.87
GET4,-1.53,-56.08,57.61
GGCT,0.22,-57.59,57.36
GHRHR,0.22,-57.59,57.36
GIGYF1,0.61,-49.75,49.13
GIMAP1,0.57,-48.65,48.08
GIMAP1-GIMAP5,0.57,-48.65,48.08
GIMAP2,0.57,-48.65,48.08
GIMAP4,0.57,-48.82,48.24
GIMAP5,0.57,-48.65,48.08
GIMAP6,0.57,-48.82,48.24
GIMAP7,0.57,-48.82,48.24
GIMAP8,0.57,-48.99,48.41
GJC3,0.44,-50.5,50.06
GLCCI1,-0.1,-56.08,56.17
GLI3,0.94,-56.37,55.44
GNA12,-2.22,-55.63,57.85
GNAI1,0.24,-56.52,56.27
GNAT3,0.24,-56.18,55.93
GNB2,0.61,-49.75,49.13
GNG11,0.05,-52.39,52.34
GNGT1,0.05,-52.39,52.34
GPC2,0.44,-50.5,50.05
GPER,-1.53,-56.08,57.61
GPNMB,0.74,-56.51,55.78
GPR141,0.77,-56.54,55.78
GPR146,-1.53,-56.08,57.61
GPR22,0.64,-48.81,48.18
GPR37,0.08,-47.79,47.72
GPR85,0.64,-48.47,47.83
GRB10,0.2,-57.08,56.87
GRID2IP,-0.48,-56.22,56.7
GRM3,0.44,-54.76,54.32
GRM8,-0.32,-47.59,47.91
GSTK1,0.19,-47.93,47.74
GTF2I,-0.31,-57.69,58.02
GTF2IP1,-0.15,-57.46,57.59
GTF2IRD1,-0.31,-58.09,58.4
GTF2IRD2,-0.32,-57.55,57.87
GTF2IRD2B,-0.12,-56.96,57.08
GTF2IRD2P1,-0.15,-57.55,57.7
GTPBP10,0.25,-54.72,54.47
GUSB,-0.32,-57.77,58.08
GUSBP10,0.0,-56.49,56.49
H2AFV,0.94,-56.17,55.23
HBP1,0.61,-48.79,48.18
HDAC9,0.35,-56.69,56.34
HEATR2,-1.53,-56.05,57.59
HECW1,0.94,-56.3,55.36
HEPACAM2,0.25,-52.56,52.31
HERPUD2,0.59,-57.23,56.63
HGF,0.41,-55.79,55.36
HIBADH,0.39,-57.59,57.19
HILPDA,-0.09,-48.26,48.35
HIP1,-0.32,-57.29,57.59
HIPK2,0.08,-47.57,47.49
HNRNPA2B1,0.39,-57.25,56.85
HOTAIRM1,0.39,-57.42,57.03
HOTTIP,0.39,-57.42,57.02
HOXA1,0.39,-57.42,57.03
HOXA10,0.39,-57.42,57.03
HOXA10-HOXA9,0.39,-57.42,57.03
HOXA11,0.39,-57.42,57.02
HOXA11-AS1,0.39,-57.42,57.02
HOXA13,0.39,-57.42,57.02
HOXA2,0.39,-57.42,57.03
HOXA3,0.39,-57.42,57.03
HOXA4,0.39,-57.42,57.03
HOXA5,0.39,-57.42,57.03
HOXA6,0.39,-57.42,57.03
HOXA7,0.39,-57.42,57.03
HOXA9,0.39,-57.42,57.03
HPVC1,0.94,-58.4,57.47
HSPB1,-0.32,-56.94,57.25
HTR5A,0.69,-48.99,48.3
HUS1,1.28,-56.39,55.11
HYAL4,-0.12,-47.42,47.55
HYALP1,0.08,-47.62,47.55
ICA1,0.07,-56.42,56.34
IFRD1,0.47,-48.64,48.17
IGF2BP3,0.74,-56.69,55.95
IGFBP1,0.94,-55.63,54.7
IGFBP3,0.94,-55.63,54.7
IKZF1,0.2,-55.68,55.48
IL6,0.55,-57.06,56.51
IMMP2L,0.64,-48.64,48.0
IMPDH1,-0.09,-48.09,48.18
ING3,-0.12,-48.03,48.15
INHBA,0.94,-56.39,55.45
INMT,0.22,-57.42,57.2
INMT-FAM188B,0.22,-57.59,57.37
INSIG1,0.86,-48.99,48.13
INTS1,-1.7,-55.93,57.63
INTS4L1,-0.32,-57.94,58.25
INTS4L2,-0.32,-57.94,58.25
IQCE,-2.22,-55.63,57.85
IQUB,-0.12,-47.44,47.56
IRF5,-0.09,-48.26,48.35
ISPD,0.13,-56.3,56.17
ITGB8,0.35,-55.95,55.61
JAZF1,0.39,-57.59,57.2
JAZF1-AS1,0.57,-57.42,56.85
JHDM1D,0.08,-47.57,47.49
KBTBD2,0.42,-57.4,56.98
KCND2,-0.12,-47.99,48.1
KCNH2,0.57,-48.99,48.42
KCP,-0.09,-48.43,48.52
KCTD7,-0.32,-57.94,58.25
KDELR2,-0.48,-56.25,56.73
KEL,0.19,-48.1,47.91
KIAA0087,0.39,-57.08,56.68
KIAA0415,-1.24,-56.22,57.46
KIAA0895,0.77,-57.06,56.29
KIAA1147,0.22,-48.28,48.05
KIAA1324L,0.44,-54.94,54.5
KIAA1549,0.08,-47.4,47.32
KIAA1908,-1.7,-56.1,57.8
KLF14,-0.09,-47.5,47.6
KLHDC10,-0.09,-48.06,48.16
KLHL7,0.55,-56.71,56.16
KLHL7-AS1,0.72,-56.71,55.99
KLRG2,0.08,-47.4,47.32
KPNA7,0.44,-50.87,50.43
KRBA1,0.74,-48.96,48.23
KRIT1,0.44,-53.69,53.25
LAMB1,0.64,-49.01,48.38
LAMB4,0.64,-49.01,48.38
LANCL2,0.42,-62.41,61.98
LAT2,-0.34,-57.52,57.87
LEP,-0.09,-47.91,48.01
LFNG,-1.85,-55.98,57.84
LHFPL3,0.25,-48.42,48.19
LIMK1,-0.34,-57.52,57.87
LINC00174,-0.32,-57.94,58.25
LINC00244,1.38,-50.44,49.05
LINC00265,0.59,-56.22,55.63
LINC00525,1.28,-56.22,54.94
LMBR1,1.01,-49.88,48.86
LMOD2,0.08,-47.64,47.56
LMTK2,0.25,-50.9,50.65
LOC100093631,-0.15,-57.46,57.59
LOC100124692,0.22,-48.3,48.08
LOC100128264,0.69,-48.99,48.3
LOC100128822,0.91,-49.71,48.79
LOC100129148,0.08,-47.4,47.32
LOC100129427,0.57,-56.56,55.99
LOC100129845,0.61,-49.94,49.32
LOC100130673,0.42,-57.59,57.18
LOC100130705,-0.09,-48.43,48.52
LOC100130849,0.22,-57.52,57.3
LOC100130880,0.08,-47.96,47.88
LOC100131176,0.77,-49.36,48.6
LOC100131257,-0.68,-56.22,56.9
LOC100132707,1.06,-49.36,48.3
LOC100132832,-0.15,-56.72,56.86
LOC100133091,-0.15,-56.72,56.86
LOC100133311,0.39,-57.42,57.03
LOC100134229,0.08,-47.76,47.68
LOC100134713,0.25,-48.1,47.85
LOC100216545,0.44,-49.03,48.6
LOC100216546,0.44,-48.84,48.41
LOC100287482,-0.09,-48.43,48.52
LOC100287704,-0.17,-57.55,57.71
LOC100287834,-0.17,-57.55,57.71
LOC100288524,-1.71,-55.88,57.59
LOC100289187,0.44,-50.33,49.89
LOC100289561,0.44,-49.06,48.62
LOC100505483,0.74,-49.71,48.96
LOC100505854,-0.15,-56.55,56.69
LOC100506025,0.52,-56.71,56.2
LOC100506050,-0.34,-57.6,57.94
LOC100506136,0.25,-51.46,51.21
LOC100506178,0.55,-57.06,56.51
LOC100506497,0.57,-57.08,56.51
LOC100506585,0.62,-49.92,49.29
LOC100506776,0.77,-56.89,56.12
LOC100506895,0.77,-56.17,55.41
LOC100507421,0.05,-48.28,48.22
LOC100630923,0.44,-49.06,48.62
LOC154761,0.39,-48.33,47.94
LOC154822,0.44,-49.72,49.26
LOC154860,-0.12,-47.47,47.59
LOC154872,0.08,-47.79,47.72
LOC155060,0.74,-48.79,48.05
LOC202781,0.69,-49.16,48.47
LOC285878,0.77,-60.64,59.88
LOC285889,1.38,-50.44,49.05
LOC285954,0.94,-56.39,55.45
LOC285965,0.56,-48.3,47.73
LOC285972,0.57,-48.99,48.41
LOC286002,0.64,-48.81,48.18
LOC349160,0.25,-47.96,47.71
LOC389458,-1.24,-56.22,57.46
LOC389493,0.22,-57.33,57.1
LOC401320,0.22,-57.59,57.37
LOC401321,0.42,-57.4,56.98
LOC401324,0.59,-57.23,56.64
LOC401397,0.64,-48.47,47.83
LOC401431,0.74,-48.96,48.23
LOC407835,-0.09,-48.26,48.35
LOC441204,0.39,-57.08,56.68
LOC441242,-0.32,-57.94,58.25
LOC442497,-1.71,-55.88,57.59
LOC493754,-0.32,-57.94,58.25
LOC541473,-0.15,-57.55,57.7
LOC641746,-0.51,-58.14,58.65
LOC643955,-0.17,-57.55,57.71
LOC645249,0.63,-49.36,48.7
LOC645591,0.44,-49.03,48.6
LOC646329,-0.09,-47.5,47.59
LOC646762,0.22,-56.9,56.68
LOC646999,0.77,-56.05,55.29
LOC649395,-0.15,-58.33,58.48
LOC650226,0.22,-57.2,56.98
LOC723809,0.44,-48.64,48.21
LOC728066,0.08,-52.9,52.83
LOC728377,0.39,-48.87,48.47
LOC728743,0.74,-49.16,48.41
LOC729156,-0.32,-58.11,58.42
LOC729852,-0.29,-56.08,56.37
LOC730441,0.39,-48.3,47.91
LOC93432,0.22,-48.3,48.08
LRCH4,0.61,-49.94,49.32
LRGUK,-0.09,-48.5,48.58
LRRC17,0.44,-49.4,48.96
LRRC4,-0.09,-47.91,48.01
LRRC61,0.74,-49.16,48.41
LRRC72,0.52,-56.51,56.0
LRRD1,0.44,-53.69,53.25
LRRN3,0.64,-48.64,48.0
LRWD1,0.44,-49.23,48.8
LSM5,0.42,-57.59,57.18
LUC7L2,0.08,-47.4,47.32
LUZP6,0.08,-48.1,48.03
MACC1,0.35,-56.31,55.98
MAD1L1,-1.7,-55.91,57.61
MAFK,-1.7,-56.1,57.8
MAGI2,0.19,-57.01,56.82
MAGI2-AS3,0.24,-56.72,56.46
MBLAC1,0.44,-50.5,50.05
MCM7,0.44,-50.5,50.05
MDFIC,0.47,-48.13,47.66
MDH2,-0.32,-56.94,57.25
MEOX2,0.13,-55.75,55.64
MEPCE,0.61,-50.31,49.68
MEST,-0.09,-47.5,47.59
MESTIT1,-0.09,-47.5,47.59
MET,0.13,-48.61,48.49
METTL2B,-0.09,-48.26,48.35
MGAM,0.22,-48.3,48.08
MGC16142,0.27,-53.13,52.86
MGC27345,-0.09,-48.09,48.18
MGC72080,0.25,-50.53,50.29
MICALL2,-1.7,-55.93,57.63
MIOS,-0.48,-56.05,56.53
MIR106B,0.44,-50.5,50.05
MIR1200,0.77,-56.89,56.12
MIR129-1,-0.09,-47.91,48.01
MIR148A,0.39,-57.42,57.02
MIR153-2,0.98,-50.29,49.29
MIR182,-0.09,-48.43,48.52
MIR183,-0.09,-48.43,48.52
MIR196B,0.39,-57.42,57.03
MIR25,0.44,-50.5,50.05
MIR29A,-0.09,-47.5,47.59
MIR29B1,-0.09,-47.5,47.59
MIR3146,0.35,-56.69,56.34
MIR3147,0.0,-56.86,56.85
MIR335,-0.09,-47.5,47.59
MIR339,-1.53,-56.08,57.61
MIR3609,0.44,-50.87,50.43
MIR3666,0.47,-48.13,47.66
MIR3907,0.77,-49.36,48.59
MIR3914-1,-0.32,-57.77,58.08
MIR3914-2,-0.32,-57.77,58.08
MIR3943,0.94,-56.31,55.39
MIR4283-1,0.02,-58.33,58.3
MIR4283-2,0.02,-58.33,58.3
MIR4284,-0.34,-57.35,57.7
MIR4285,0.44,-49.25,48.81
MIR4467,0.44,-49.23,48.8
MIR4468,0.08,-47.96,47.88
MIR4648,-2.02,-55.63,57.66
MIR4649,0.94,-55.8,54.87
MIR4650-1,-0.15,-58.75,58.9
MIR4650-2,-0.15,-58.75,58.9
MIR4651,-0.32,-57.46,57.77
MIR4652,0.25,-52.41,52.16
MIR4653,0.44,-50.14,49.7
MIR4655,-1.7,-56.1,57.8
MIR4656,-1.24,-56.22,57.46
MIR4657,0.94,-56.17,55.23
MIR4658,0.44,-50.5,50.05
MIR489,0.25,-52.21,51.97
MIR490,0.25,-47.96,47.71
MIR548F3,0.52,-48.4,47.88
MIR548F4,0.35,-48.87,48.52
MIR548I4,0.35,-49.04,48.69
MIR548M,0.24,-56.7,56.44
MIR548T,0.86,-48.92,48.06
MIR550A1,0.22,-57.42,57.19
MIR550A2,0.42,-57.4,56.98
MIR550A3,0.22,-56.9,56.68
MIR550B1,0.22,-57.42,57.19
MIR550B2,0.42,-57.4,56.98
MIR589,-0.88,-56.39,57.26
MIR590,-0.34,-57.52,57.87
MIR591,0.25,-51.65,51.41
MIR592,-0.12,-47.79,47.91
MIR593,-0.09,-47.91,48.01
MIR595,0.44,-49.72,49.26
MIR653,0.25,-52.21,51.97
MIR671,0.77,-49.19,48.43
MIR93,0.44,-50.5,50.05
MIR96,-0.09,-48.43,48.52
MKLN1,-0.09,-47.87,47.96
MKRN1,0.42,-48.1,47.68
MLL3,0.74,-49.71,48.96
MLL5,0.44,-48.84,48.4
MLXIPL,-0.34,-57.35,57.7
MMD2,-1.24,-56.22,57.46
MNX1,0.63,-49.36,48.7
MOGAT3,0.44,-50.31,49.87
MOSPD3,0.61,-49.94,49.32
MOXD2P,0.39,-48.3,47.91
MPP6,0.38,-56.54,56.17
MRPL32,0.94,-56.31,55.39
MRPS17,0.39,-58.27,57.86
MRPS24,0.77,-56.17,55.41
MRPS33,0.05,-48.1,48.05
MTERF,0.25,-53.35,53.09
MTPN,0.08,-48.1,48.03
MTRNR2L6,0.39,-48.48,48.08
MUC12,0.44,-49.94,49.5
MUC17,0.44,-49.77,49.32
MYH16,0.44,-50.5,50.05
MYL10,0.44,-49.79,49.35
MYL7,0.94,-55.8,54.87
MYO1G,1.11,-56.0,54.9
NAA38,-0.12,-47.71,47.84
NACAD,1.11,-55.8,54.7
NAMPT,0.61,-48.81,48.2
NAPEPLD,0.44,-49.4,48.96
NAT16,0.44,-50.14,49.7
NCAPG2,0.44,-49.72,49.26
NCF1,-0.31,-57.52,57.84
NCF1B,-0.15,-57.55,57.7
NCF1C,0.05,-56.96,56.91
NDUFA4,-0.46,-55.91,56.37
NDUFA5,-0.12,-47.44,47.56
NDUFB2,0.25,-48.1,47.85
NEUROD6,0.22,-57.59,57.36
NFE2L3,0.39,-57.25,56.85
NOBOX,0.39,-48.87,48.47
NOD1,0.22,-57.42,57.19
NOM1,0.46,-49.02,48.53
NOS3,0.57,-48.99,48.42
NPC1L1,0.94,-55.63,54.7
NPSR1,0.59,-57.4,56.81
NPTX2,0.25,-51.07,50.82
NPVF,0.38,-57.06,56.68
NPY,0.55,-56.89,56.34
NRCAM,0.64,-49.01,48.37
NRF1,-0.09,-48.43,48.52
NSUN5,-0.15,-57.55,57.7
NSUN5P1,-0.32,-56.94,57.25
NSUN5P2,-0.15,-57.55,57.7
NT5C3,0.42,-57.59,57.17
NUB1,0.77,-49.36,48.6
NUDCD3,0.94,-55.63,54.7
NUDT1,-1.85,-55.98,57.84
NUP205,0.08,-47.96,47.88
NUPL2,0.74,-56.54,55.79
NXPH1,0.27,-56.61,56.34
NYAP1,0.61,-49.94,49.32
OCM,-0.68,-56.22,56.9
OCM2,0.25,-50.53,50.29
OGDH,0.94,-55.97,55.05
OPN1SW,-0.09,-48.26,48.35
OR2A1,0.39,-48.87,48.47
OR2A12,0.56,-48.87,48.3
OR2A14,0.56,-48.87,48.3
OR2A2,0.56,-48.87,48.3
OR2A20P,0.39,-48.87,48.47
OR2A25,0.56,-48.87,48.3
OR2A42,0.39,-48.87,48.47
