Gene Symbol,Deletion,Diploid,Gain
TNFRSF4,15.46,70.62,13.92
TTC34,15.46,70.62,13.92
TTLL10,15.46,70.62,13.92
UBE2J2,15.46,70.62,13.92
VWA1,15.46,70.62,13.92
WASH7P,15.46,70.62,13.92
hsa-mir-1302-2,15.46,70.62,13.92
hsa-mir-200a,15.46,70.62,13.92
hsa-mir-200b,15.46,70.62,13.92
hsa-mir-4251,15.46,70.62,13.92
hsa-mir-429,15.46,70.62,13.92
ARHGEF16,15.98,70.27,13.75
MEGF6,16.84,69.93,13.23
MIR551A,16.32,70.27,13.41
hsa-mir-551a,16.32,70.27,13.41
TPRG1L,17.01,69.76,13.23
WRAP73,17.35,69.59,13.06
TP73,17.7,69.24,13.06
TP73-AS1,17.52,69.76,12.71
CCDC27,17.52,69.76,12.71
LOC388588,17.52,69.76,12.71
LRRC47,17.52,69.76,12.71
CEP104,18.04,69.24,12.71
DFFB,17.87,69.42,12.71
C1orf174,17.87,69.42,12.71
LOC100133612,17.7,69.42,12.88
LOC728716,17.7,69.42,12.88
LOC284661,19.76,67.7,12.54
AJAP1,19.93,67.53,12.54
MIR4417,21.48,66.32,12.2
MIR4689,22.16,65.98,11.86
NPHP4,22.68,65.46,11.86
KCNAB2,23.19,65.29,11.51
CHD5,23.19,65.29,11.51
RPL22,23.19,65.29,11.51
RNF207,23.02,65.46,11.51
ICMT,23.02,65.46,11.51
GPR153,22.51,65.98,11.51
HES3,22.51,65.98,11.51
ACOT7,22.85,65.64,11.51
HES2,22.34,65.98,11.68
ESPN,22.85,65.29,11.86
MIR4252,22.16,65.98,11.86
hsa-mir-4252,22.16,65.98,11.86
PLEKHG5,22.68,65.12,12.2
TNFRSF25,22.51,65.46,12.03
NOL9,22.68,64.95,12.37
TAS1R1,22.16,65.46,12.37
ZBTB48,22.16,65.46,12.37
KLHL21,22.16,65.46,12.37
PHF13,22.16,65.46,12.37
THAP3,22.16,65.46,12.37
DNAJC11,22.34,65.46,12.2
CAMTA1,25.25,63.4,11.34
VAMP3,24.22,64.6,11.17
PER3,24.4,64.43,11.17
UTS2,24.23,64.6,11.17
TNFRSF9,24.4,64.43,11.17
PARK7,24.05,64.78,11.17
ERRFI1,24.22,64.6,11.17
SLC45A1,23.02,65.64,11.34
RERE,23.19,65.12,11.68
ENO1,22.16,65.98,11.86
ENO1-AS1,22.16,65.98,11.86
CA6,21.82,66.49,11.68
SLC2A7,21.47,66.84,11.68
SLC2A5,21.47,66.84,11.68
GPR157,21.3,67.18,11.51
MIR34A,21.47,67.01,11.51
hsa-mir-34a,21.47,67.01,11.51
H6PD,21.3,67.01,11.68
SPSB1,21.13,67.18,11.68
SLC25A33,20.27,67.87,11.85
TMEM201,19.76,68.21,12.03
C1orf200,19.41,68.38,12.2
PIK3CD,19.41,68.38,12.2
CLSTN1,18.9,68.9,12.2
CTNNBIP1,18.55,69.24,12.2
LZIC,18.38,69.42,12.2
NMNAT1,18.38,69.42,12.2
RBP7,18.04,69.76,12.2
UBE4B,17.87,69.24,12.89
KIF1B,17.7,69.24,13.06
hsa-mir-1273d,17.7,69.42,12.89
PGD,16.66,70.62,12.72
APITD1-CORT,16.67,70.62,12.72
APITD1,16.67,70.62,12.72
CORT,16.49,70.96,12.55
DFFA,16.49,70.96,12.55
PEX14,16.32,70.96,12.72
CASZ1,15.64,71.65,12.72
C1orf127,13.92,72.85,13.23
TARDBP,13.75,73.37,12.88
MASP2,13.75,73.37,12.88
SRM,13.4,73.54,13.05
EXOSC10,13.4,73.54,13.05
MTOR,12.89,73.37,13.75
ANGPTL7,12.89,73.54,13.57
UBIAD1,12.71,73.37,13.92
PTCHD2,12.88,73.37,13.74
FBXO2,12.54,73.54,13.92
FBXO44,12.54,73.54,13.92
FBXO6,12.54,73.54,13.92
MAD2L2,12.37,73.71,13.92
C1orf187,12.2,73.71,14.09
AGTRAP,12.03,73.71,14.27
MTHFR,12.03,73.54,14.44
CLCN6,12.03,73.54,14.44
NPPA-AS1,12.2,73.71,14.09
NPPA,12.2,73.71,14.09
NPPB,12.37,73.71,13.92
KIAA2013,12.03,73.88,14.09
PLOD1,12.03,73.71,14.26
MFN2,11.86,73.88,14.26
MIIP,11.86,73.88,14.26
TNFRSF8,11.68,74.05,14.27
TNFRSF1B,11.68,74.05,14.27
MIR4632,11.51,74.4,14.09
VPS13D,11.51,74.23,14.27
SNORA59A|chr1,11.68,74.23,14.09
SNORA59B|chr1,11.68,74.23,14.09
DHRS3,11.85,74.05,14.09
AADACL4,11.51,74.4,14.09
AADACL3,11.34,74.4,14.26
C1orf158,11.17,74.57,14.26
HNRNPCL1,11.34,74.05,14.61
LOC440563,11.34,74.05,14.61
LOC649330,11.34,74.05,14.61
PRAMEF10,11.34,74.05,14.61
PRAMEF11,11.34,74.05,14.61
PRAMEF12,11.34,74.05,14.61
PRAMEF13,11.34,74.05,14.61
PRAMEF14,11.34,74.05,14.61
PRAMEF15,11.34,74.05,14.61
PRAMEF16,11.34,74.05,14.61
PRAMEF17,11.34,74.05,14.61
PRAMEF18,11.34,74.05,14.61
PRAMEF19,11.34,74.05,14.61
PRAMEF1,11.34,74.05,14.61
PRAMEF20,11.51,73.88,14.61
PRAMEF21,11.51,73.88,14.61
PRAMEF22,11.34,74.05,14.61
PRAMEF2,11.34,74.05,14.61
PRAMEF3,11.34,74.05,14.61
PRAMEF4,11.34,74.05,14.61
PRAMEF5,11.34,74.05,14.61
PRAMEF6,11.34,74.05,14.61
PRAMEF7,11.34,74.05,14.61
PRAMEF8,11.34,74.05,14.61
PRAMEF9,11.34,74.05,14.61
LRRC38,10.65,74.4,14.95
PDPN,10.82,73.88,15.29
PRDM2,10.65,73.88,15.47
KAZN,10.48,74.4,15.12
C1orf126,9.62,75.26,15.12
TMEM51,9.62,75.26,15.12
FHAD1,9.97,74.74,15.29
EFHD2,9.97,75.26,14.77
CTRC,9.79,75.43,14.77
CELA2A,9.79,75.43,14.77
CELA2B,9.79,75.43,14.77
CASP9,9.62,75.77,14.6
DNAJC16,9.79,75.6,14.6
AGMAT,9.79,75.6,14.6
DDI2,9.97,75.6,14.43
RSC1A1,9.97,75.6,14.43
PLEKHM2,9.79,75.6,14.6
FBLIM1,9.79,75.77,14.43
SLC25A34,9.79,75.77,14.43
TMEM82,9.79,75.77,14.43
UQCRHL,9.45,76.12,14.43
FLJ37453,9.45,76.12,14.43
SPEN,9.45,76.12,14.43
ZBTB17,9.45,76.12,14.43
C1orf64,9.28,76.12,14.6
HSPB7,9.28,76.12,14.6
CLCNKA,9.11,76.29,14.6
CLCNKB,9.11,76.29,14.6
FAM131C,9.11,76.29,14.6
EPHA2,9.11,76.29,14.6
ARHGEF19,8.93,76.46,14.6
RSG1,8.93,76.46,14.6
FBXO42,9.11,76.46,14.43
C1orf144,9.11,76.46,14.43
SPATA21,9.28,76.29,14.43
NECAP2,9.28,76.29,14.43
CROCCP3,9.28,76.29,14.43
ATP13A2,9.28,76.29,14.43
CROCCP2,9.28,76.29,14.43
CROCC,9.28,76.29,14.43
ESPNP,9.28,76.29,14.43
MFAP2,9.28,76.29,14.43
MIR3675,9.28,76.29,14.43
MST1P2,9.28,76.29,14.43
MST1P9,9.28,76.29,14.43
NBPF1,9.28,76.29,14.43
SDHB,9.45,76.46,14.09
PADI2,9.28,76.63,14.09
PADI1,9.28,76.63,14.09
PADI3,9.28,76.63,14.09
PADI4,9.28,76.8,13.92
PADI6,9.28,76.8,13.92
RCC2,9.28,76.63,14.09
ARHGEF10L,9.11,76.8,14.09
ACTL8,8.93,77.15,13.92
IGSF21,9.1,76.63,14.27
KLHDC7A,9.1,76.8,14.09
PAX7,8.93,76.8,14.27
TAS1R2,8.93,76.98,14.09
ALDH4A1,8.93,77.32,13.74
MIR4695,8.76,77.32,13.91
hsa-mir-1290,8.93,77.32,13.74
IFFO2,8.93,77.32,13.74
UBR4,9.28,77.32,13.4
KIAA0090,9.45,77.32,13.23
MRTO4,9.28,77.84,12.88
AKR7L,9.28,77.84,12.88
AKR7A3,9.28,77.84,12.88
LOC100506730,9.28,77.84,12.88
AKR7A2,9.62,77.66,12.71
PQLC2,9.79,77.49,12.71
CAPZB,9.96,77.32,12.71
C1orf151-NBL1,9.96,77.49,12.54
MINOS1,9.96,77.49,12.54
NBL1,9.96,77.49,12.54
HTR6,9.96,77.49,12.54
TMCO4,10.48,76.98,12.54
RNF186,10.14,77.32,12.54
OTUD3,10.48,76.8,12.71
PLA2G2E,10.48,76.8,12.71
PLA2G2A,10.48,76.8,12.71
PLA2G5,10.48,76.63,12.88
PLA2G2D,10.48,76.63,12.88
PLA2G2F,10.65,76.63,12.71
PLA2G2C,10.65,76.63,12.71
UBXN10,10.65,76.63,12.71
VWA5B1,10.48,76.8,12.71
LOC339505,10.48,76.8,12.71
CAMK2N1,10.31,76.98,12.71
MUL1,10.31,76.98,12.71
FAM43B,10.31,76.98,12.71
CDA,10.14,76.98,12.88
PINK1,9.79,77.32,12.88
DDOST,9.79,77.32,12.88
KIF17,10.14,77.15,12.71
SH2D5,10.14,77.15,12.71
HP1BP3,9.97,77.15,12.88
EIF4G3,10.31,76.29,13.4
hsa-mir-1256,10.14,77.15,12.72
ECE1,10.48,76.29,13.23
LOC100506801,10.48,76.63,12.89
NBPF3,10.48,76.63,12.89
ALPL,10.65,76.46,12.89
RAP1GAP,10.82,76.46,12.72
USP48,10.82,76.46,12.72
LDLRAD2,10.82,76.46,12.71
HSPG2,10.82,76.29,12.89
CDC42,10.99,76.29,12.72
CELA3A,10.99,76.29,12.72
CELA3B,10.99,76.29,12.72
LINC00339,10.99,76.29,12.72
WNT4,11.16,76.29,12.54
ZBTB40,11.34,75.6,13.06
EPHA8,11.0,75.77,13.23
C1QA,10.82,76.12,13.06
C1QC,10.82,76.12,13.06
C1QB,10.82,76.12,13.06
EPHB2,10.82,75.95,13.23
MIR4684,10.65,76.12,13.23
MIR4253,10.31,76.46,13.23
hsa-mir-4253,10.31,76.46,13.23
LOC729059,10.31,76.46,13.23
KDM1A,10.82,76.29,12.88
MIR3115,10.48,76.8,12.71
hsa-mir-3115,10.48,76.8,12.71
LUZP1,10.82,76.63,12.54
HTR1D,10.65,76.8,12.54
HNRNPR,10.65,76.8,12.54
ZNF436,10.65,76.63,12.71
C1orf213,10.65,76.63,12.71
TCEA3,10.48,76.63,12.88
ASAP3,10.65,76.46,12.88
E2F2,10.82,76.29,12.88
ID3,10.82,76.46,12.71
MDS2,10.65,76.98,12.37
RPL11,11.51,76.29,12.2
TCEB3,11.51,76.29,12.2
LOC100506963,11.17,76.63,12.2
PITHD1,11.17,76.63,12.2
LYPLA2,11.17,76.63,12.2
GALE,11.17,76.63,12.2
HMGCL,11.17,76.63,12.2
FUCA1,11.0,76.8,12.2
CNR2,11.0,76.8,12.2
MIR378F,11.0,76.8,12.2
PNRC2,11.0,76.8,12.2
SRSF10,10.82,76.98,12.2
MYOM3,10.48,77.15,12.37
IL22RA1,10.14,77.15,12.71
IL28RA,10.14,77.15,12.71
LOC284632,10.31,77.15,12.54
GRHL3,10.48,76.8,12.71
C1orf201,10.14,77.15,12.71
NIPAL3,10.14,77.15,12.71
RCAN3AS,9.79,77.49,12.71
RCAN3,9.79,77.49,12.71
C1orf130,9.97,77.32,12.71
SRRM1,9.97,76.98,13.06
CLIC4,9.79,76.98,13.23
RUNX3,9.62,77.32,13.05
SYF2,9.28,78.01,12.71
C1orf63,9.28,78.01,12.71
RHD,9.28,78.01,12.71
TMEM50A,9.28,78.01,12.71
RHCE,9.28,77.84,12.88
TMEM57,9.11,78.01,12.88
LDLRAP1,8.93,78.18,12.88
MAN1C1,9.28,77.66,13.06
SEPN1,8.93,78.01,13.06
FAM54B,8.93,78.01,13.06
LOC646471,8.93,78.01,13.06
C1orf135,8.93,78.01,13.06
PAQR7,8.93,78.01,13.06
STMN1,8.93,78.01,13.06
MIR3917,8.93,78.01,13.06
PAFAH2,9.11,77.84,13.06
EXTL1,9.28,77.66,13.06
SLC30A2,9.28,77.66,13.06
TRIM63,9.28,77.66,13.06
PDIK1L,9.11,77.84,13.06
FAM110D,9.11,77.84,13.06
CNKSR1,9.11,77.84,13.06
ZNF593,9.11,77.84,13.06
CATSPER4,9.11,77.84,13.06
CEP85,9.11,77.84,13.06
SH3BGRL3,8.93,78.01,13.06
UBXN11,8.93,78.01,13.06
AIM1L,8.93,78.01,13.06
CD52,8.59,78.18,13.23
ZNF683,8.93,78.01,13.06
LIN28A,8.93,78.01,13.06
DHDDS,8.76,78.18,13.06
HMGN2,8.59,78.35,13.06
RPS6KA1,8.93,78.01,13.06
MIR1976,8.93,78.01,13.06
hsa-mir-1976,8.93,78.01,13.06
ARID1A,9.28,77.32,13.4
PIGV,8.93,77.66,13.4
ZDHHC18,8.93,77.66,13.4
SFN,8.76,77.84,13.4
GPN2,8.76,77.84,13.4
GPATCH3,8.76,77.84,13.4
NR0B2,8.76,78.01,13.23
NUDC,8.76,78.01,13.23
C1orf172,8.76,78.01,13.23
TRNP1,8.76,78.01,13.23
FAM46B,8.76,78.01,13.23
SLC9A1,8.76,77.84,13.4
WDTC1,8.76,77.84,13.4
LOC644961,8.76,77.84,13.4
TMEM222,8.76,77.84,13.4
SYTL1,8.76,77.84,13.4
MAP3K6,8.76,77.84,13.4
FCN3,8.76,77.84,13.4
CD164L2,8.76,77.84,13.4
GPR3,8.76,77.84,13.4
WASF2,9.11,77.32,13.57
AHDC1,9.1,77.49,13.4
FGR,9.1,77.66,13.23
IFI6,8.93,77.84,13.23
FAM76A,8.76,77.84,13.4
STX12,8.76,77.84,13.4
PPP1R8,8.59,78.35,13.06
SCARNA1,8.59,78.35,13.06
C1orf38,8.59,78.35,13.06
RPA2,8.59,78.18,13.23
SMPDL3B,8.59,78.18,13.23
XKR8,8.42,78.35,13.23
EYA3,8.42,78.01,13.58
LOC653566,8.42,78.01,13.58
PTAFR,8.76,77.66,13.58
DNAJC8,8.76,77.84,13.41
ATPIF1,8.76,77.84,13.41
SESN2,8.76,77.84,13.41
MED18,8.42,78.18,13.41
PHACTR4,8.42,78.18,13.41
RCC1,7.9,78.69,13.41
SNHG3,7.9,78.69,13.41
TRNAU1AP,7.9,78.52,13.58
SNHG12,7.56,78.87,13.58
SNORA16A,7.56,78.87,13.58
SNORA44,7.56,78.87,13.58
SNORA61,7.56,78.87,13.58
SNORD99,7.56,78.87,13.58
RAB42,7.56,78.87,13.58
TAF12,7.56,78.87,13.58
RNU11,7.56,78.87,13.58
GMEB1,7.39,78.87,13.75
YTHDF2,7.22,79.04,13.75
OPRD1,7.22,79.04,13.75
EPB41,7.22,79.04,13.74
TMEM200B,7.04,79.21,13.74
SRSF4,7.04,79.21,13.74
MECR,7.39,78.87,13.74
PTPRU,7.39,79.21,13.4
LAPTM5,6.87,79.21,13.91
LOC100129196,6.87,79.21,13.91
MATN1,6.87,79.21,13.91
MIR4420,6.87,79.21,13.91
SDC3,6.36,78.69,14.95
PUM1,6.01,79.55,14.43
SNORD103A,6.01,79.55,14.43
SNORD103B,6.01,79.55,14.43
SNORD85,6.01,79.55,14.43
PRO0611,6.01,79.55,14.43
NKAIN1,6.19,79.55,14.26
SNRNP40,6.19,79.73,14.09
ZCCHC17,6.19,79.55,14.26
FABP3,6.01,80.07,13.92
SERINC2,6.19,79.9,13.91
LOC149086,6.36,79.73,13.91
LOC284551,6.36,79.73,13.91
TINAGL1,6.53,79.73,13.74
HCRTR1,6.53,79.73,13.74
PEF1,6.53,79.73,13.74
COL16A1,6.36,79.9,13.74
BAI2,6.36,79.9,13.74
MIR4254,6.36,79.9,13.74
hsa-mir-4254,6.36,79.9,13.74
SPOCD1,6.36,79.73,13.92
PTP4A2,6.36,79.04,14.6
KHDRBS1,6.36,79.04,14.6
TMEM39B,6.36,79.04,14.6
KPNA6,6.19,79.38,14.43
TXLNA,6.19,79.38,14.43
CCDC28B,6.01,79.73,14.26
IQCC,6.01,79.73,14.26
DCDC2B,6.01,79.73,14.26
TMEM234,5.84,79.9,14.26
EIF3I,5.84,79.9,14.26
MTMR9LP,5.84,79.9,14.26
FAM167B,5.84,79.9,14.26
LCK,5.84,79.9,14.26
HDAC1,6.01,79.73,14.26
MARCKSL1,6.01,79.9,14.09
BSDC1,6.01,79.73,14.26
LOC100128071,6.01,79.9,14.09
TSSK3,6.01,79.9,14.09
ZBTB8B,6.01,79.55,14.44
ZBTB8A,6.01,79.73,14.27
ZBTB8OS,6.01,79.73,14.27
RBBP4,6.01,79.73,14.27
SYNC,5.84,79.9,14.27
KIAA1522,6.01,79.73,14.26
YARS,6.01,79.55,14.44
S100PBP,6.01,79.55,14.44
FNDC5,6.01,79.55,14.44
HPCA,6.19,79.38,14.44
TMEM54,6.19,79.38,14.44
RNF19B,6.36,79.21,14.44
AK2,6.53,78.87,14.61
ADC,6.36,79.21,14.44
TRIM62,6.19,79.38,14.44
ZNF362,6.19,79.38,14.44
PHC2,6.36,78.87,14.78
MIR3605,6.36,79.04,14.61
ZSCAN20,5.84,79.38,14.78
CSMD2,6.7,78.52,14.78
HMGB4,6.53,78.69,14.78
LOC402779,6.53,78.69,14.78
C1orf94,6.19,79.21,14.6
hsa-mir-552,5.84,79.9,14.26
GJB5,5.84,79.9,14.26
GJB4,5.84,79.9,14.26
GJB3,5.84,79.9,14.26
GJA4,5.84,79.9,14.26
C1orf212,5.67,80.07,14.26
DLGAP3,5.67,80.07,14.27
LOC653160,5.67,80.07,14.27
ZMYM6NB,5.67,80.07,14.27
ZMYM6,5.84,79.9,14.27
ZMYM1,5.84,79.9,14.27
SFPQ,5.67,80.07,14.27
ZMYM4,6.01,79.73,14.27
KIAA0319L,6.01,79.9,14.09
NCDN,6.01,79.9,14.09
TFAP2E,6.01,79.9,14.09
PSMB2,6.01,79.9,14.09
C1orf216,6.01,79.73,14.26
CLSPN,6.01,79.73,14.26
EIF2C4,6.01,79.38,14.6
EIF2C1,5.84,79.55,14.6
EIF2C3,5.67,79.55,14.78
TEKT2,5.67,79.73,14.61
ADPRHL2,5.67,79.73,14.61
COL8A2,5.67,79.73,14.61
TRAPPC3,5.67,79.73,14.61
MAP7D1,5.67,79.73,14.61
THRAP3,5.67,79.73,14.61
SH3D21,5.5,79.9,14.61
FAM176B,5.5,79.9,14.61
STK40,5.5,79.9,14.61
LSM10,5.33,80.07,14.61
OSCP1,5.33,80.07,14.61
MRPS15,5.15,80.24,14.61
CSF3R,5.15,80.24,14.61
GRIK3,4.81,80.93,14.26
MIR4255,4.98,80.76,14.26
hsa-mir-4255,4.98,80.76,14.26
LOC728431,4.98,80.93,14.09
ZC3H12A,4.98,80.93,14.09
MEAF6,4.81,81.1,14.09
SNIP1,4.81,81.1,14.09
DNALI1,4.81,81.1,14.09
GNL2,4.81,80.93,14.26
RSPO1,4.81,80.93,14.26
C1orf109,4.81,80.93,14.26
CDCA8,4.81,81.1,14.09
EPHA10,4.98,80.93,14.09
MANEAL,4.81,81.27,13.91
YRDC,4.81,81.27,13.91
C1orf122,4.81,81.27,13.91
MTF1,4.81,81.27,13.91
INPP5B,4.81,81.27,13.91
SF3A3,4.81,81.27,13.91
FHL3,4.81,81.27,13.91
UTP11L,4.81,81.27,13.91
POU3F1,4.81,81.27,13.91
MIR3659,4.81,81.27,13.91
LOC339442,4.64,81.44,13.91
RRAGC,4.3,81.44,14.26
GJA9-MYCBP,4.3,81.44,14.26
MYCBP,4.3,81.44,14.26
GJA9,4.3,81.44,14.26
RHBDL2,4.3,81.44,14.26
AKIRIN1,4.3,81.44,14.26
NDUFS5,4.3,81.44,14.26
MACF1,4.47,81.1,14.43
KIAA0754,4.3,81.27,14.43
BMP8A,4.47,81.44,14.09
PPIEL,4.47,81.44,14.09
PABPC4,4.47,81.44,14.09
SNORA55,4.47,81.44,14.09
HEYL,4.47,81.44,14.09
NT5C1A,4.47,81.44,14.09
HPCAL4,4.47,81.44,14.09
PPIE,4.47,81.44,14.09
BMP8B,4.47,81.44,14.09
OXCT2,4.47,81.62,13.91
TRIT1,4.81,81.27,13.91
MYCL1,4.81,81.44,13.74
MFSD2A,4.81,81.44,13.74
CAP1,4.81,81.44,13.74
PPT1,4.81,81.44,13.74
RLF,4.81,81.44,13.74
TMCO2,4.81,81.44,13.74
ZMPSTE24,4.81,81.44,13.74
COL9A2,4.98,81.27,13.74
SMAP2,4.64,81.62,13.74
ZNF643,4.64,81.62,13.74
ZNF642,4.64,81.62,13.74
DEM1,4.64,81.62,13.74
ZNF684,4.64,81.62,13.74
RIMS3,4.64,81.62,13.74
LOC100130557,4.64,81.62,13.74
NFYC,4.64,81.62,13.74
MIR30E,4.64,81.62,13.74
hsa-mir-30e,4.64,81.62,13.74
MIR30C1,4.64,81.62,13.74
hsa-mir-30c-1,4.64,81.62,13.74
KCNQ4,4.64,81.44,13.91
CITED4,4.47,81.62,13.91
CTPS,4.3,81.79,13.91
LOC100507178,4.3,81.79,13.91
SLFNL1,4.3,81.79,13.91
SCMH1,4.47,81.62,13.91
EDN2,4.64,81.79,13.57
HIVEP3,4.47,82.13,13.4
GUCA2B,3.78,82.47,13.74
GUCA2A,3.78,82.47,13.74
FOXJ3,3.78,82.47,13.74
RIMKLA,3.78,82.47,13.74
ZMYND12,3.78,82.47,13.74
PPCS,3.78,82.47,13.74
CCDC30,3.78,82.47,13.74
PPIH,3.78,82.47,13.74
YBX1,3.78,82.47,13.74
CLDN19,3.78,82.47,13.74
LEPRE1,3.78,82.47,13.74
C1orf50,3.78,82.47,13.74
LOC100129924,3.78,82.47,13.74
CCDC23,3.78,82.47,13.74
ERMAP,3.78,82.47,13.74
ZNF691,3.78,82.47,13.74
SLC2A1,3.78,82.3,13.91
FLJ32224,3.78,82.3,13.91
FAM183A,3.61,82.47,13.91
EBNA1BP2,3.61,82.47,13.91
WDR65,3.61,82.47,13.91
TMEM125,3.61,82.47,13.91
C1orf210,3.61,82.47,13.91
TIE1,3.61,82.47,13.91
MPL,3.61,82.47,13.91
CDC20,3.61,82.47,13.91
ELOVL1,3.61,82.47,13.91
MED8,3.61,82.47,13.91
SZT2,3.61,82.47,13.91
HYI,3.61,82.47,13.91
PTPRF,3.61,82.47,13.91
KDM4A,3.61,82.47,13.91
LOC100132774,3.61,82.47,13.91
ST3GAL3,3.61,82.3,14.09
ARTN,3.61,82.3,14.09
IPO13,3.61,82.13,14.27
ATP6V0B,3.61,82.13,14.27
DPH2,3.61,82.13,14.27
B4GALT2,3.61,82.13,14.27
CCDC24,3.61,82.13,14.27
SLC6A9,3.61,82.13,14.27
KLF17,3.61,82.3,14.09
DMAP1,3.61,82.47,13.92
ERI3,3.61,82.3,14.09
RNF220,3.44,82.47,14.09
TMEM53,3.44,82.82,13.74
C1orf228,3.44,82.82,13.74
KIF2C,3.61,82.82,13.57
BEST4,3.61,82.82,13.57
RPS8,3.61,82.82,13.57
SNORD38A,3.61,82.82,13.57
SNORD38B,3.61,82.82,13.57
SNORD46,3.61,82.82,13.57
SNORD55,3.61,82.82,13.57
PLK3,3.61,82.82,13.57
BTBD19,3.61,82.82,13.57
TCTEX1D4,3.61,82.82,13.57
PTCH2,3.61,82.65,13.74
EIF2B3,3.78,82.65,13.57
HECTD3,3.78,82.65,13.57
UROD,3.78,82.65,13.57
ZSWIM5,3.78,82.65,13.57
LOC400752,3.61,82.65,13.74
HPDL,3.61,82.65,13.74
MUTYH,3.61,82.65,13.74
TESK2,3.78,82.47,13.74
TOE1,3.61,82.65,13.74
CCDC163P,3.78,82.65,13.57
MMACHC,3.78,82.65,13.57
PRDX1,3.78,82.65,13.57
AKR1A1,3.78,82.65,13.57
NASP,3.78,82.65,13.57
CCDC17,3.78,82.65,13.57
GPBP1L1,3.78,82.65,13.57
RPS15AP10,3.78,82.65,13.57
IPP,3.78,82.82,13.4
TMEM69,3.78,82.82,13.4
MAST2,3.78,82.82,13.4
PIK3R3,3.78,82.82,13.4
TSPAN1,3.61,82.82,13.57
POMGNT1,3.61,82.82,13.57
LURAP1,3.61,82.82,13.57
RAD54L,3.61,82.82,13.57
LRRC41,3.61,82.82,13.57
UQCRH,3.61,82.82,13.57
NSUN4,3.61,82.65,13.74
FAAH,3.61,82.82,13.57
LOC729041,3.61,82.82,13.57
DMBX1,3.61,82.82,13.57
LOC100507423,3.61,82.82,13.57
KNCN,3.61,82.82,13.57
MKNK1,3.61,82.82,13.57
MOB3C,3.61,82.82,13.57
ATPAF1,3.61,82.82,13.57
ATPAF1-AS1,3.61,82.82,13.57
LOC100130197,3.61,82.82,13.57
KIAA0494,3.61,82.82,13.57
